8;CSS Luzern
32;AQUILANA Baden
57;Moove Sympany Bern
62;SUPRA Lausanne
134;KK Einsiedeln
182;Provita Winterthur
194;Sumiswalder Sumiswald
246;KK Steffisburg
290;CONCORDIA Luzern
294;Agilia Malters
312;Atupri Bern
343;Avenir Martigny
360;KkLH Zell
376;KPT Bern
455;ÖKK KUV AG Landquart
509;Vivao Sympany Basel
558;KK Flaachtal Bülach
762;Kolping Dübendorf
774;Easy Sana  Martigny
780;GLKV Elm
820;Lumneziana Vella
829;KLuG Zug
881;EGK Laufen
901;sanavals Vals
923;SLKK Zürich
941;sodalis Visp
966;vita surselva Ilanz
994;Progrès Dübendorf
1003;KKZ Zeneggen
1040;KKV Visperterminen
1060;Wincare Zürich
1113;CMVEO Orsières
1142;KK Ingenbohl Brunnen
1147;KK Turbenthal
1318;KK Wädenswil
1322;KKB Künten
1328;kmu Winterthur
1331;KKS Stoffel Mels
1362;KK Simplon Simplon Dorf
1384;SWICA Winterthur
1386;GALENOS Zürich
1401;rhenusana Heerbrugg
1423;Publisana Brugg
1479;Mutuel Martigny
1507;AMB Le Châble
1509;Sanitas Zürich
1529;Intras Luzern
1535;Philos Martigny
1542;ASSURA Pully
1555;Visana Bern
1560;Agrisano Brugg
1562;Helsana Dübendorf
1563;innova Muri b. Bern
1565;avanex Dübendorf
1566;sansan Dübendorf
1568;sana24 Muri
1569;Arcosana AG Luzern
1570;vivacare Muri
1573;indivo Dübendorf
1574;maxi.ch Dübendorf
1575;Compact Zürich
1577;Sanagate AG Luzern
